STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
387,,,Constant,/Generator/conv_block_out/post_pad/Constant_2,N/A,N/A,N/A,[2],16,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
388,,,Reshape,/Generator/conv_block_out/post_pad/Reshape,N/A,N/A,N/A,"[4, 2]",64,int64,[8],64,int64,N/A,0,0,,,,N/A,
389,,,Constant,/Generator/conv_block_out/post_pad/Constant_3,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
390,,,Constant,/Generator/conv_block_out/post_pad/Constant_4,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
391,,,Constant,/Generator/conv_block_out/post_pad/Constant_5,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
392,,,Constant,/Generator/conv_block_out/post_pad/Constant_6,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
393,,,Slice,/Generator/conv_block_out/post_pad/Slice,N/A,N/A,N/A,"[4, 2]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
394,,,Transpose,/Generator/conv_block_out/post_pad/Transpose,N/A,N/A,N/A,"[2, 4]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
395,,,Constant,/Generator/conv_block_out/post_pad/Constant_7,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
396,,,Reshape,/Generator/conv_block_out/post_pad/Reshape_1,N/A,N/A,N/A,[8],64,int64,"[2, 4]",64,int64,N/A,0,0,,,,N/A,
397,,,Cast,/Generator/conv_block_out/post_pad/Cast,N/A,N/A,N/A,[8],64,int64,[8],64,int64,N/A,0,0,,,,N/A,
398,Constant,,Constant,/Constant,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
399,Constant_1,,Constant,/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
400,Hyperprior,Add_3_output_0_cast_to_,Cast,/Hyperprior/Add_3_output_0_cast_to_/Generator/conv_block_init/conv_block_init.0/ReduceMean,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
401,Generator,conv_block_init,ReduceMean,/Generator/conv_block_init/conv_block_init.0/ReduceMean,220,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
402,Hyperprior,Add_3_output_0_cast_to_,Cast,/Hyperprior/Add_3_output_0_cast_to_/Generator/conv_block_init/conv_block_init.0/ReduceMean_1,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
403,Generator,conv_block_init,ReduceMean,/Generator/conv_block_init/conv_block_init.0/ReduceMean_1,220,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
